EU,Austria
EU,Belgium
EU,Bulgaria
EU,Croatia
EU,Cyprus
EU,Czech Republic
EU,Denmark
EU,Estonia
EU,Finland
EU,France
EU,Germany
EU,Greece
EU,Hungary
EU,Ireland
EU,Italy
EU,Latvia
EU,Lithuania
EU,Luxembourg
EU,Malta
EU,Netherlands
EU,Poland
EU,Portugal
EU,Romania
EU,Slovakia
EU,Slovenia
EU,Spain
EU,Sweden
EU,United Kingdom
NATO,Albania
NATO,Belgium
NATO,Bulgaria
NATO,Canada
NATO,Croatia
NATO,Czech Republic
NATO,Denmark
NATO,Estonia
NATO,France
NATO,Germany
NATO,Greece
NATO,Hungary
NATO,Iceland
NATO,Italy
NATO,Latvia
NATO,Lithuania
NATO,Luxembourg
NATO,Montenegro
NATO,Netherlands
NATO,Norway
NATO,Poland
NATO,Portugal
NATO,Romania
NATO,Slovakia
NATO,Slovenia
NATO,Spain
NATO,Turkey
NATO,United Kingdom
NATO,United States of America
OPEC,Algeria
OPEC,Angola
OPEC,Ecuador
OPEC,Equatorial Guinea
OPEC,Gabon
OPEC,Iran
OPEC,Iraq
OPEC,Kuwait
OPEC,Libya
OPEC,Nigeria
OPEC,Republic of the Congo
OPEC,Saudi Arabia
OPEC,United Arab Emirates
OPEC,Venezuela
